Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta,Run Scored Delta,Run Allowed Delta,Run Delta Delta,Run Delta Percent Delta,Win Total Delta,H_AVG,H_OBP,H_SLG,H_BFW,H_O_AVG,H_O_OBP,H_O_SLG,A_AVG,A_OBP,A_SLG,A_BFW,A_O_AVG,A_O_OBP,A_O_SLG
sunday may 19,L,LAA,KCR,0.16280193236714974,6,17,-27,44,0.1823,7,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
monday may 20,L,LAA,MIN,-0.17391304347826084,0,-40,34,-74,-0.3936,-8,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.27,0.338,0.494,7.3,0.257,0.316,0.419
tuesday may 21,L,LAA,MIN,-0.1914893617021277,-3,-42,36,-78,-0.4109999999999999,-9,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.27,0.338,0.494,7.3,0.257,0.316,0.419
thursday may 23,L,LAA,MIN,-0.2083333333333333,-5,-47,41,-88,-0.4519,-10,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.27,0.338,0.494,7.3,0.257,0.316,0.419
friday may 24,L,LAA,TEX,-0.061658706035605686,-8,-38,-8,-30,-0.11880000000000004,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
saturday may 25,W,LAA,TEX,-0.08083333333333337,-10,-39,-7,-32,-0.12490000000000012,-3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
sunday may 26,W,LAA,TEX,-0.05922368947579025,2,-38,-8,-30,-0.11589999999999988,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
monday may 27,W,OAK,LAA,0.07549857549857547,8,20,-32,52,0.2191,5,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday may 28,L,OAK,LAA,0.09262435677530012,12,23,-35,58,0.2378,6,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
wednesday may 29,L,OAK,LAA,0.07275132275132268,-2,21,-33,54,0.2169000000000001,5,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
thursday may 30,L,SEA,LAA,-0.05893416927899681,-4,27,69,-42,-0.11260000000000005,-2,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
friday may 31,W,SEA,LAA,-0.07536319612590803,-6,21,75,-54,-0.1470999999999999,-3,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
saturday jun 1,L,SEA,LAA,-0.05701754385964914,2,22,74,-52,-0.13979999999999992,-2,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
sunday jun 2,L,SEA,LAA,-0.07292255511588469,-2,19,77,-58,-0.15590000000000004,-3,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
monday jun 3,W,CHC,LAA,0.05233422539399346,-5,-6,-45,39,0.16159999999999994,2,0.252,0.331,0.452,8.1,0.251,0.32299999999999995,0.414,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday jun 4,L,LAA,OAK,-0.01666666666666672,4,9,35,-26,-0.0976999999999999,-1,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.249,0.327,0.448,1.6,0.242,0.308,0.404
wednesday jun 5,W,LAA,OAK,-0.03278688524590162,-3,7,37,-30,-0.11110000000000007,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.249,0.327,0.448,1.6,0.242,0.308,0.404
thursday jun 6,L,LAA,OAK,-0.016129032258064502,2,8,36,-28,-0.10029999999999993,-1,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.249,0.327,0.448,1.6,0.242,0.308,0.404
friday jun 7,L,LAA,SEA,0.0822510822510823,0,-20,-83,63,0.1533,4,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
saturday jun 8,W,LAA,SEA,0.06576492537313428,-3,-24,-79,55,0.13070000000000004,3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
sunday jun 9,L,LAA,SEA,0.07986425339366532,2,-15,-88,73,0.1751999999999999,4,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
monday jun 10,W,LAA,LAD,-0.21212121212121204,-3,-15,99,-114,-0.4689,-14,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.257,0.338,0.472,11.2,0.223,0.282,0.379
tuesday jun 11,W,LAA,LAD,-0.1940298507462688,2,-13,97,-110,-0.4455000000000001,-13,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.257,0.338,0.472,11.2,0.223,0.282,0.379
thursday jun 13,L,TBR,LAA,0.12664618086040386,-4,-29,-125,96,0.4347,8,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
friday jun 14,W,TBR,LAA,0.11018755328218237,-6,-31,-123,92,0.4104000000000001,7,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
saturday jun 15,L,TBR,LAA,0.12298136645962734,2,-26,-128,102,0.4390999999999999,8,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
sunday jun 16,W,TBR,LAA,0.10704225352112667,-2,-28,-126,98,0.41590000000000016,7,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
monday jun 17,L,TOR,LAA,-0.11991392801251947,2,-83,-7,-76,-0.2119,-9,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday jun 18,L,TOR,LAA,-0.13203957382039572,-2,-88,-2,-86,-0.2330000000000001,-10,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
wednesday jun 19,L,TOR,LAA,-0.14383561643835618,-4,-90,0,-90,-0.2419999999999999,-11,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
thursday jun 20,W,TOR,LAA,-0.15531531531531534,-6,-95,5,-100,-0.2614000000000001,-12,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
