Date,Home,Away,RS,RA
thursday sep 5,OAK,LAA,10,6
friday sep 6,CHW,LAA,4,5
saturday sep 7,CHW,LAA,7,8
sunday sep 8,CHW,LAA,5,1
monday sep 9,LAA,CLE,2,6
tuesday sep 10,LAA,CLE,0,8
wednesday sep 11,LAA,CLE,3,4
friday sep 13,LAA,TBR,4,11
saturday sep 14,LAA,TBR,1,3
sunday sep 15,LAA,TBR,6,4
tuesday sep 17,NYY,LAA,8,0
wednesday sep 18,NYY,LAA,2,3
thursday sep 19,NYY,LAA,9,1
friday sep 20,HOU,LAA,6,4
saturday sep 21,HOU,LAA,4,8
sunday sep 22,HOU,LAA,13,5
tuesday sep 24,LAA,OAK,3,2
wednesday sep 25,LAA,OAK,2,3
thursday sep 26,LAA,HOU,4,3
friday sep 27,LAA,HOU,0,4
saturday sep 28,LAA,HOU,3,6
sunday sep 29,LAA,HOU,5,8
thursday mar 28,TBR,HOU,1,5
friday mar 29,TBR,HOU,4,2
saturday mar 30,TBR,HOU,3,1
sunday mar 31,TBR,HOU,3,1
monday apr 1,TEX,HOU,1,2
tuesday apr 2,TEX,HOU,6,4
wednesday apr 3,TEX,HOU,4,0
friday apr 5,HOU,OAK,3,2
saturday apr 6,HOU,OAK,6,0
sunday apr 7,HOU,OAK,9,8
monday apr 8,HOU,NYY,4,3
tuesday apr 9,HOU,NYY,6,3
wednesday apr 10,HOU,NYY,8,6
friday apr 12,SEA,HOU,6,10
saturday apr 13,SEA,HOU,1,3
sunday apr 14,SEA,HOU,2,3
tuesday apr 16,OAK,HOU,1,9
wednesday apr 17,OAK,HOU,2,1
friday apr 19,TEX,HOU,2,7
saturday apr 20,TEX,HOU,9,4
sunday apr 21,TEX,HOU,11,10
monday apr 22,HOU,MIN,5,9
tuesday apr 23,HOU,MIN,10,4
wednesday apr 24,HOU,MIN,7,1
thursday apr 25,HOU,CLE,1,2
friday apr 26,HOU,CLE,3,6
saturday apr 27,HOU,CLE,4,3
sunday apr 28,HOU,CLE,4,1
monday apr 29,MIN,HOU,1,0
tuesday apr 30,MIN,HOU,0,11
wednesday may 1,MIN,HOU,6,2
thursday may 2,MIN,HOU,8,2
monday may 6,HOU,KCR,6,4
tuesday may 7,HOU,KCR,2,12
wednesday may 8,HOU,KCR,9,0
thursday may 9,HOU,TEX,4,2
friday may 10,HOU,TEX,3,0
saturday may 11,HOU,TEX,11,4
sunday may 12,HOU,TEX,15,5
monday may 13,DET,HOU,1,8
tuesday may 14,DET,HOU,4,11
wednesday may 15,DET,HOU,1,5
friday may 17,BOS,HOU,1,3
saturday may 18,BOS,HOU,3,7
sunday may 19,BOS,HOU,4,3
monday may 20,HOU,CHW,3,0
