Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed,AVG,OBP,SLG,BFW,O_AVG,O_OBP,O_SLG
Boston Red Sox,BOS,2013,American,East,162,97,65,0,0.599,-,853,656,0.277,0.349,0.446,15.7,0.248,0.316,0.393
New York Yankees,NYY,2013,American,East,162,85,77,0,0.525,12,650,671,0.242,0.307,0.376,-7.6,0.261,0.318,0.413
Tampa Bay Rays,TBR,2013,American,East,163,92,71,0,0.564,5.5,700,646,0.257,0.329,0.408,5.1,0.24,0.305,0.381
Toronto Blue Jays,TOR,2013,American,East,162,74,88,0,0.457,23,712,756,0.252,0.318,0.411,-2.0,0.259,0.324,0.426
Baltimore Orioles,BAL,2013,American,East,162,85,77,0,0.525,12,745,709,0.26,0.313,0.431,4.0,0.259,0.321,0.428
Cleveland Indians,CLE,2013,American,Central,162,92,70,0,0.568,1,745,662,0.255,0.327,0.41,7.0,0.249,0.322,0.386
Minnesota Twins,MIN,2013,American,Central,162,66,96,0,0.40700000000000003,27,614,788,0.242,0.312,0.38,-6.0,0.28,0.336,0.434
Detroit Tigers,DET,2013,American,Central,162,93,69,0,0.574,-,796,624,0.283,0.346,0.434,7.3,0.247,0.308,0.373
Chicago White Sox,CHW,2013,American,Central,162,63,99,0,0.389,30,598,723,0.249,0.302,0.378,-13.0,0.256,0.322,0.408
Kansas City Royals,KCR,2013,American,Central,162,86,76,0,0.531,7,648,601,0.26,0.315,0.379,-5.2,0.25,0.311,0.387
Houston Astros,HOU,2013,American,West,162,51,111,0,0.315,45,610,848,0.24,0.299,0.375,-9.9,0.272,0.347,0.445
Oakland Athletics,OAK,2013,American,West,162,96,66,0,0.593,-,767,625,0.254,0.327,0.419,2.6,0.242,0.299,0.379
Anaheim Angels,LAA,2013,American,West,162,78,84,0,0.48100000000000004,18,733,737,0.264,0.329,0.414,4.1,0.261,0.328,0.408
Seattle Mariners,SEA,2013,American,West,162,71,91,0,0.43799999999999994,25,624,754,0.237,0.306,0.39,-0.8,0.259,0.319,0.417
Texas Rangers,TEX,2013,American,West,163,91,72,0,0.5579999999999999,5.5,730,636,0.262,0.323,0.412,4.9,0.248,0.313,0.387
Atlanta Braves,ATL,2014,National,East,162,79,83,0,0.488,17,573,597,0.241,0.305,0.36,-5.1,0.251,0.312,0.37
Washington Nationals,WSN,2014,National,East,162,96,66,0,0.593,-,686,555,0.253,0.321,0.393,5.5,0.244,0.294,0.358
Philadelphia Phillies,PHI,2014,National,East,162,73,89,0,0.451,23,619,687,0.242,0.302,0.363,-6.3,0.252,0.321,0.387
